combination_name,combination_code,seismic_velocity_mps,seismic_velocity_kmps,best_x_m,best_y_m,best_z_m,best_rms_s,best_source_lag_s,stations_used
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S2I2S2I2S1I2S2I1,2500.0,2.5,1827848.0,5661584.0,1803.133545,0.06426748866640988,-0.35212726437418224,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S1I1S1I2S2I2,3300.0,3.3,1828232.0,5662352.0,1933.467285,0.08411491349576157,0.07356070370807029,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S1I2S2I2S1I2S1I1,3300.0,3.3,1827944.0,5661872.0,1879.445679,0.0877197093060421,-0.3783609909076183,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S2I2S2I2S1I2S2I1,3000.0,3.0,1827848.0,5661584.0,1803.133545,0.08990867574214388,-0.621228408247849,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S2I2S1I2S1I1,2500.0,2.5,1828040.0,5661872.0,1862.954834,0.09169104899418898,-0.07875163313465325,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S2I2S2I1S1I2S1I1,2500.0,2.5,1827848.0,5661968.0,1976.512817,0.09495761486222584,-0.5876096585174058,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S2I2S2I2S1I2S2I1,3300.0,3.3,1827848.0,5661680.0,1823.050049,0.09619763537478962,-0.7468144951692125,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S2I1S1I2S1I2S1I1,3300.0,3.3,1828136.0,5661776.0,1782.875366,0.0993602362946488,-0.01483312274721733,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S2I2S2I1S1I2S1I1,3300.0,3.3,1827752.0,5661968.0,2023.887207,0.1029372461184575,-0.9103835237209615,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S1I1S1I2S2I2,3000.0,3.0,1828232.0,5662352.0,1933.467285,0.10369242715691022,0.19634195421213754,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S2I2S1I2S2I2,3000.0,3.0,1828232.0,5662256.0,1871.278687,0.10414381652917423,0.3339927486047486,5
