event_id,event_term,freq_min_hz,freq_max_hz
2026p000623,-1.5867973294571354,1.0,10.0
2026p000759,-3.7631459150836477,1.0,10.0
2026p001954,-3.7751442673705107,1.0,10.0
2026p001970,-0.7574959881320424,1.0,10.0
2026p007764,-2.941798158661768,1.0,10.0
2026p009049,-2.121479192309034,1.0,10.0
2026p010400,-2.815759557993071,1.0,10.0
2026p012670,-1.7460505678559635,1.0,10.0
2026p013345,-2.2008331304261635,1.0,10.0
2026p014981,-2.087033754738968,1.0,10.0
2026p015262,-1.667935798243365,1.0,10.0
2026p017907,-3.0101535557845196,1.0,10.0
2026p019488,-1.3491630741352747,1.0,10.0
2026p020158,-1.7993800625541918,1.0,10.0
2026p020165,-3.0645553454158954,1.0,10.0
2026p021911,-0.21129364507404125,1.0,10.0
2026p023193,-1.4465913992651451,1.0,10.0
2026p023854,-2.292496517746247,1.0,10.0
2026p025013,-1.3110041903461993,1.0,10.0
2026p025386,-0.35864499899059477,1.0,10.0
2026p028787,-2.072375761749006,1.0,10.0
2026p029414,-3.041545047352601,1.0,10.0
2026p030834,-1.6579713175594994,1.0,10.0
2026p031203,-3.4185815693230714,1.0,10.0
2026p031760,-0.9983570860025885,1.0,10.0
2026p032139,-2.639178806545004,1.0,10.0
2026p033488,-1.7075779268193747,1.0,10.0
2026p033966,-2.4623587258377913,1.0,10.0
2026p034745,-1.1769292843556936,1.0,10.0
2026p035435,-2.743004232541408,1.0,10.0
2026p039588,-1.9741586542658778,1.0,10.0
2026p043837,-1.0631456723574384,1.0,10.0
2026p043858,-1.72442801016927,1.0,10.0
2026p044030,-0.8691663992743645,1.0,10.0
2026p046335,-1.7383032194565213,1.0,10.0
2026p051624,0.2844184847655562,1.0,10.0
2026p054230,-1.2392992568358827,1.0,10.0
2026p054644,-2.8812019794502524,1.0,10.0
2026p056085,-3.9711655718690135,1.0,10.0
2026p057856,-0.7651106447389433,1.0,10.0
2026p061316,-3.222666473540362,1.0,10.0
2026p063891,-1.3287798252725436,1.0,10.0
2026p064519,0.4772576011474552,1.0,10.0
2026p070137,-2.2276179757646064,1.0,10.0
2026p073186,-3.67208836133476,1.0,10.0
2026p076582,-1.5042208384007938,1.0,10.0
2026p077024,-2.804689858687546,1.0,10.0
2026p077320,-2.6386796753633384,1.0,10.0
2026p077758,-1.4497548773372175,1.0,10.0
2026p077841,0.509520103836762,1.0,10.0
2026p078317,-3.297415822368498,1.0,10.0
2026p078352,-2.3709499147873223,1.0,10.0
2026p078386,-2.3301472943349397,1.0,10.0
2026p078411,-0.3652763022569776,1.0,10.0
2026p078910,-1.6377832659040283,1.0,10.0
2026p079403,-2.5773837560964545,1.0,10.0
2026p079576,-1.6972453621096144,1.0,10.0
2026p081831,-2.872601995197712,1.0,10.0
2026p082432,-1.1994441092114756,1.0,10.0
2026p083037,-1.8877146917599938,1.0,10.0
2026p083814,-2.6954191224214297,1.0,10.0
2026p085012,-1.9321322962238137,1.0,10.0
2026p087290,-3.3707240341023095,1.0,10.0
2026p090534,-4.384583873398872,1.0,10.0
2026p091298,0.15852672340737806,1.0,10.0
2026p091324,-1.078993990680734,1.0,10.0
2026p094590,-2.6211189407411366,1.0,10.0
2026p096511,-1.1853731254839515,1.0,10.0
2026p100003,0.1829181425232862,1.0,10.0
2026p101487,-1.8066715869776808,1.0,10.0
2026p103251,-0.6610648076296572,1.0,10.0
2026p104133,0.49658659243838765,1.0,10.0
2026p107640,1.4060791973628688,1.0,10.0
2026p108079,-2.4406551613140333,1.0,10.0
2026p108229,-0.1790181342868058,1.0,10.0
2026p108883,-0.33732586520271846,1.0,10.0
2026p109071,-3.372583600479475,1.0,10.0
2026p109432,-2.4164943990916576,1.0,10.0
2026p110136,-3.838552614140668,1.0,10.0
2026p110454,0.44812332715774783,1.0,10.0
2026p110868,-2.330343007271829,1.0,10.0
2026p113505,-1.9311601863861314,1.0,10.0
2026p114206,-1.8466363902327307,1.0,10.0
2026p114524,-3.5105324180351456,1.0,10.0
2026p114889,-2.8018970142463253,1.0,10.0
2026p120046,-0.43394781771882585,1.0,10.0
2026p121023,-3.1643725911607063,1.0,10.0
2026p121107,-2.9135120274581956,1.0,10.0
2026p121552,-3.6195438898678276,1.0,10.0
2026p121593,-1.1535573419014749,1.0,10.0
2026p121913,-2.544206906884011,1.0,10.0
2026p122916,-3.087532019507368,1.0,10.0
2026p126188,-2.593168750948623,1.0,10.0
2026p126745,-1.700286341195239,1.0,10.0
2026p128026,-3.396046938697956,1.0,10.0
2026p128338,-0.16851279088068294,1.0,10.0
2026p129197,-3.102227245746426,1.0,10.0
2026p131423,0.029790589387083566,1.0,10.0
2026p131683,-3.1046081987468352,1.0,10.0
2026p133739,-2.510870948729242,1.0,10.0
2026p134231,0.4010629722521313,1.0,10.0
2026p135251,-1.8438976224618862,1.0,10.0
2026p138023,-1.377289799875077,1.0,10.0
2026p138396,-3.6885413447855484,1.0,10.0
2026p138646,-1.2233490641347413,1.0,10.0
2026p139161,-1.8547164252384596,1.0,10.0
2026p139362,1.3708523368161445,1.0,10.0
2026p139725,-1.198427481516611,1.0,10.0
2026p142668,-2.0529805703140895,1.0,10.0
2026p146967,-1.6829584296418747,1.0,10.0
2026p148031,-2.0944494182835216,1.0,10.0
2026p148210,-1.980655972655366,1.0,10.0
2026p149039,-1.918161508756652,1.0,10.0
2026p151276,-2.527074467244569,1.0,10.0
2026p151934,-2.3179248727038138,1.0,10.0
2026p152794,-1.3608799555505504,1.0,10.0
2026p155289,-2.2240543953956142,1.0,10.0
2026p158764,-2.5824574907448685,1.0,10.0
2026p159028,-2.1012457680013616,1.0,10.0
2026p159725,0.4165292436986562,1.0,10.0
2026p160827,-1.7490291772106463,1.0,10.0
2026p163110,-1.6302652778836757,1.0,10.0
2026p166211,-1.3855735751994256,1.0,10.0
2026p167614,-2.4347174114051353,1.0,10.0
2026p168626,-3.378507203596754,1.0,10.0
2026p170894,-1.6315269478380359,1.0,10.0
2026p172615,-0.49892830834529456,1.0,10.0
2026p172647,-2.773275565865455,1.0,10.0
2026p176350,-2.69299943819921,1.0,10.0
2026p176742,-1.266162232081804,1.0,10.0
2026p176996,-0.8137080206224636,1.0,10.0
2026p178754,-2.914121122797142,1.0,10.0
2026p178790,0.2849909279566798,1.0,10.0
2026p178891,-0.8596159326821016,1.0,10.0
2026p179742,-1.5221158980278435,1.0,10.0
2026p181704,-1.3534590099984936,1.0,10.0
2026p182222,-1.8269064524058929,1.0,10.0
2026p182310,-2.0042363590636976,1.0,10.0
2026p182919,-1.8124403350755651,1.0,10.0
2026p183451,-1.929864245637149,1.0,10.0
2026p185691,-3.7893362541543576,1.0,10.0
2026p188837,-2.613703789190088,1.0,10.0
2026p189015,-1.9150101285173522,1.0,10.0
2026p192233,-2.5094406073615074,1.0,10.0
2026p192334,-2.438513566700091,1.0,10.0
2026p193794,-0.7352159550216425,1.0,10.0
2026p194349,-2.5438808704068663,1.0,10.0
2026p195209,-3.261933947691972,1.0,10.0
2026p197619,-1.9850880388095704,1.0,10.0
2026p198638,-1.9376153753793675,1.0,10.0
2026p198754,-1.6698025678232749,1.0,10.0
2026p199724,-2.912634566656188,1.0,10.0
2026p200973,-1.5718952905114831,1.0,10.0
2026p201523,-1.9658736493185964,1.0,10.0
2026p201919,-1.2384867438569471,1.0,10.0
2026p205989,-1.1425026223358659,1.0,10.0
2026p206607,-1.5835877752628473,1.0,10.0
2026p207461,-2.920721838822457,1.0,10.0
2026p207967,-0.013184429671940112,1.0,10.0
2026p208346,-1.4542311300033461,1.0,10.0
2026p209045,0.2789793567018589,1.0,10.0
2026p209457,-3.216846563239654,1.0,10.0
2026p210905,-1.7172376796067952,1.0,10.0
2026p212454,-2.038483181587876,1.0,10.0
2026p212644,-1.706896257220164,1.0,10.0
2026p213942,-2.2354106753901393,1.0,10.0
2026p214115,-2.7188474942871412,1.0,10.0
2026p214211,-2.4179613761460304,1.0,10.0
2026p215807,-2.728710191304518,1.0,10.0
2026p215817,-3.938616454715003,1.0,10.0
2026p218000,-1.9984531095489872,1.0,10.0
2026p219193,-2.019426420453672,1.0,10.0
2026p220587,-2.2130950576242885,1.0,10.0
2026p222192,-1.5280647378837393,1.0,10.0
2026p222826,-3.1779944956629054,1.0,10.0
2026p223054,-2.5837094921063546,1.0,10.0
2026p223306,-2.113060453788785,1.0,10.0
2026p237023,-4.668673695311028,1.0,10.0
2026p242635,-3.385932940043789,1.0,10.0
2026p242956,-2.247359623602275,1.0,10.0
2026p243045,-2.5143055055281858,1.0,10.0
