station,latitude,longitude,elevation_m,distance_from_crater_km
COVZ,-39.199923,175.542296,1133.0,9.159705324359846
ETVZ,-39.1357,175.7106,1236.0,7.137403324012809
FWVZ,-39.254945374,175.55295183,2043.0,12.899077751346184
KRVZ,-39.094442315,175.641203517,1207.0,6.9445489623868575
MAVZ,-39.2679133,175.5616533,2624.1,13.788132286549956
NGZ,-39.175583868,175.601172722,1452.0,3.43133436583316
NOVZ,-39.126493,175.610657,1476.0,3.8433979781935745
NTVZ,-39.0984817,175.6759733,1260.0,7.468773948075852
OTVZ,-39.163113759,175.665073554,1506.0,2.9030107001662175
SNVZ,-39.1862267,175.6403333,1604.0,3.354160733672126
TMVZ,-39.11561,175.704064,1200.0,7.680231730122086
TRVZ,-39.298816259,175.547821602,2062.0,17.39791442534918
TUVZ,-39.267675863,175.654153029,1446.0,12.46881583941334
TWVZ,-39.071001379,175.437731105,1084.0,19.344958444106023
WHVZ,-39.2825,175.5886,2105.0,14.479935647249581
WTVZ,-39.115252619,175.589692806,1186.0,5.901049297580028
