station,kind,pick_s,credible_start_s,credible_end_s,posterior_probability,envelope_noise_median,pre_mean_log_normalized_envelope,post_mean_log_normalized_envelope,amplitude_shift_log_units,status,freq_min_hz,freq_max_hz,smooth_s,early_prior_decay_s,reference_time_utc,absolute_start_time_utc,absolute_end_time_utc,mseed_path,start_offset_s,end_offset_s,noise_start_s,noise_end_s,model_start_s,model_end_s,min_pre_change_s,min_post_change_s,detection_start_s,detection_end_s
OTVZ,seismic,11.0,10.93547799982619,11.038218135067343,0.13150417714132243,1.581401876561174e-08,0.5477760424468853,5.218482467660475,4.67070642521359,ok,1.0,10.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/seismic_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
OTVZ,infrasound,14.909999999999997,14.872610879790617,14.926418854284393,0.24900454225002366,0.001738592783815105,0.039463429677646246,3.0315480856762083,2.992084655998562,ok,2.0,15.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/infrasound_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
SNVZ,seismic,9.980000000000004,9.93225972140363,10.02207680374302,0.14709516624055127,1.4864802056470114e-08,0.14301666254086573,4.170328351896636,4.02731168935577,ok,1.0,10.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/seismic_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
SNVZ,infrasound,18.760000000000005,18.61832749074964,19.055004322093765,0.04573512372183889,0.0036715758647513706,0.008487976149196861,1.0732055176835675,1.0647175415343706,ok,2.0,15.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/infrasound_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
NGZ,seismic,10.069999999999993,10.036724138785061,10.099702526152182,0.2069556368171085,1.005216426296482e-08,0.21676781155632785,4.570979302429969,4.354211490873642,ok,1.0,10.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/seismic_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
NGZ,infrasound,19.53,19.481870562923387,19.564549988469324,0.1649456236423232,0.0058343569175170985,0.02421585512908341,0.4076344851162305,0.3834186299871471,ok,2.0,15.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/infrasound_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
NOVZ,seismic,10.329999999999998,10.30094131099928,10.344992925557424,0.3009638885371625,1.6477287382244547e-08,0.19173506745257474,4.162925004113682,3.9711899366611076,ok,1.0,10.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/seismic_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
NOVZ,infrasound,22.840000000000003,22.63516797634406,22.919282893686432,0.04091060544857499,0.002518596789436347,0.2359541832880925,0.49263915475560205,0.25668497146750957,ok,2.0,15.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/infrasound_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
ETVZ,seismic,10.980000000000004,10.951202347959178,10.992041728607907,0.3155009448327136,1.1195308283369282e-08,0.1336521972172092,3.5748921466266004,3.441239949409391,ok,1.0,10.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/seismic_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
ETVZ,infrasound,28.459999999999994,28.286845076283786,28.533260643306928,0.06359590190092533,0.0015720287012950585,0.02436717290905063,0.5937126634122821,0.5693454905032315,ok,2.0,15.0,2.0,0.0,2026-03-21T13:36:05.000000Z,2026-03-21T13:35:05.000000Z,2026-03-21T13:37:05.000000Z,/Users/leightonwatson/Library/CloudStorage/OneDrive-UniversityofCanterbury/01_Research/00_CODEX/Ngauruhoe_Landslide/PAPER_CODE/OnsetTimes/offline_change_point_arrival_picks_cache/infrasound_reference_20260321_133605_window_20260321_133505_20260321_133705.mseed,-60.0,60.0,-50.0,-10.0,-30.0,60.0,5.0,5.0,0.0,60.0
