station,frequency_band,frequency_min_hz,frequency_max_hz,n_ratios,site_amplification,multiplicative_std,median_ratio,p16_ratio,p84_ratio
COVZ,1-10Hz,1.0,10.0,31,1.0310666692210522,1.3057032848918333,1.0008971412478163,0.8104138414226296,1.4008831935855754
ETVZ,1-10Hz,1.0,10.0,30,0.9471602664391504,1.2971009170674337,0.9323787384477937,0.7424635495055246,1.1428066434942383
FWVZ,1-10Hz,1.0,10.0,27,0.6226707538339719,1.3805536867822885,0.5702566164225745,0.4666665984683456,0.9284517418175596
KRVZ,1-10Hz,1.0,10.0,30,0.8296358879603257,1.366055770792317,0.8799480333827279,0.6121562958372733,1.1386465039615326
MAVZ,1-10Hz,1.0,10.0,27,1.0576052362260389,1.4917073608545819,1.0413102952455462,0.6503985922050493,1.6717642381535534
NGZ,1-10Hz,1.0,10.0,30,1.12652241557642,1.3243709971322222,1.0944464708074146,0.8605095479248596,1.5005258445802918
NOVZ,1-10Hz,1.0,10.0,31,1.2773988367990359,1.5430024181558482,1.497023127212921,0.7899984385464082,1.9696442662654143
NTVZ,1-10Hz,1.0,10.0,30,0.9936348993076429,1.5615909741241694,1.002701345699328,0.5998059140259783,1.6588558585871627
OTVZ,1-10Hz,1.0,10.0,32,1.0,1.0,1.0,1.0,1.0
SNVZ,1-10Hz,1.0,10.0,31,0.7545196052473487,1.248790626391306,0.7605437339573071,0.6120984298196088,0.9102033438840237
TMVZ,1-10Hz,1.0,10.0,23,0.9214864370155497,1.3602567819709308,0.9473514351053901,0.6648451926312319,1.21376552835743
TRVZ,1-10Hz,1.0,10.0,30,0.7271264345697648,1.42163122405092,0.7406165091020629,0.4925573338485034,1.0861725998176153
TUVZ,1-10Hz,1.0,10.0,23,1.9702957416113198,1.3095630669926992,2.0873403624083386,1.4489411419796094,2.579739844894032
TWVZ,1-10Hz,1.0,10.0,30,0.5802755580898467,1.6610969060267033,0.6860431665495693,0.31985706497556965,0.9295434557119184
WHVZ,1-10Hz,1.0,10.0,25,0.8211193479986806,1.3667135363060863,0.7802449835435984,0.6250496901473787,1.1592554136067932
WTVZ,1-10Hz,1.0,10.0,30,1.0296407025017171,1.4619010070805938,1.1464399122936129,0.7121313723503128,1.4934009972118285
